state_clean,year,fy_year,month,fuel_category,vec_class_category,maker,total
Delhi,2019,2018-19,FEB,CNG,Bus,FORCE MOTORS LIMITED,1
Delhi,2019,2018-19,FEB,CNG,Bus,MAHINDRA & MAHINDRA LIMITED,4
Delhi,2019,2018-19,FEB,CNG,Bus,SML ISUZU LTD,3
Delhi,2019,2018-19,FEB,CNG,Bus,TATA MOTORS LTD,15
Delhi,2019,2018-19,FEB,CNG,Goods Carrier,ASHOK LEYLAND LTD,53
Delhi,2019,2018-19,FEB,CNG,Goods Carrier,FORCE MOTORS LIMITED,3
Delhi,2019,2018-19,FEB,CNG,Goods Carrier,MAHINDRA & MAHINDRA LIMITED,378
Delhi,2019,2018-19,FEB,CNG,Goods Carrier,SML ISUZU LTD,42
Delhi,2019,2018-19,FEB,CNG,Goods Carrier,TATA MOTORS LTD,982
Delhi,2019,2018-19,FEB,CNG,Goods Carrier,VE COMMERCIAL VEHICLES LTD,172
Delhi,2019,2018-19,FEB,CNG,Other,MAHINDRA & MAHINDRA LIMITED,1
Delhi,2019,2018-19,FEB,CNG,Passenger 4W,FORCE MOTORS LIMITED,2
Delhi,2019,2018-19,FEB,CNG,Passenger 4W,MAHINDRA & MAHINDRA LIMITED,10
Delhi,2019,2018-19,FEB,CNG,Passenger 4W,TATA MOTORS LTD,9
Delhi,2019,2018-19,FEB,Diesel,Goods Carrier,FORCE MOTORS LIMITED,7
Delhi,2019,2018-19,FEB,Diesel,Goods Carrier,MAHINDRA & MAHINDRA LIMITED,1
Delhi,2019,2018-19,FEB,Diesel,Goods Carrier,SML ISUZU LTD,1
Delhi,2019,2018-19,FEB,Diesel,Goods Carrier,TATA MOTORS LTD,12
Delhi,2019,2018-19,FEB,Diesel,Goods Carrier,VE COMMERCIAL VEHICLES LTD,10
Delhi,2019,2018-19,FEB,Diesel,Other,FORCE MOTORS LIMITED,1
Delhi,2019,2018-19,FEB,Diesel,Passenger 4W,MAHINDRA & MAHINDRA LIMITED,3
Delhi,2019,2018-19,FEB,Diesel,Passenger 4W,MARUTI SUZUKI INDIA LTD,14
Delhi,2019,2018-19,FEB,Diesel,Passenger 4W,TATA MOTORS LTD,10
Delhi,2019,2018-19,FEB,Diesel,Passenger 4W,TOYOTA KIRLOSKAR MOTOR PVT LTD,4
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,AUDI AG,6
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,BMW INDIA PVT LTD,20
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,FORD INDIA PVT LTD,123
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,HONDA CARS INDIA LTD,72
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,HYUNDAI MOTOR INDIA LTD,291
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,ISUZU MOTORS INDIA PVT LTD,4
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,JAGUAR LAND ROVER INDIA LIMITED,8
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,MAHINDRA & MAHINDRA LIMITED,364
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,MARUTI SUZUKI INDIA LTD,572
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,MERCEDES-BENZ INDIA PVT LTD,32
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,NISSAN MOTOR INDIA PVT LTD,2
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,RENAULT INDIA PVT LTD,6
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,SKODA AUTO INDIA PVT LTD,8
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,STELLANTIS INDIA PVT LTD,20
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,TATA MOTORS LTD,126
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,TOYOTA KIRLOSKAR MOTOR PVT LTD,311
Delhi,2019,2018-19,FEB,Diesel,Private 4 wheeler,VOLKSWAGEN INDIA PVT LTD,13
