fy,category,value_tpd
2021-22,Solid Waste Generation,11108
2021-22,Solid Waste Collected,11108
2021-22,Solid Waste Treated,5280
2021-22,Solid Waste Landfilled,450
2022-23,Solid Waste Generation,11352
2022-23,Solid Waste Collected,11352
2022-23,Solid Waste Treated,7352
2022-23,Solid Waste Landfilled,341
2023-24,Solid Waste Generation,11342
2023-24,Solid Waste Collected,11342
2023-24,Solid Waste Treated,7542
2023-24,Solid Waste Landfilled,336
2024-25,Solid Waste Generation,11852
2024-25,Solid Waste Collected,7611
2024-25,Solid Waste Treated,7611
2024-25,Solid Waste Landfilled,345
