city,station,month,pollutant,station_val,city_avg
Delhi,"Alipur, Delhi - DPCC",2015-01,PM2.5,,196
Delhi,"Alipur, Delhi - DPCC",2015-02,PM2.5,,173
Delhi,"Alipur, Delhi - DPCC",2015-03,PM2.5,,78
Delhi,"Alipur, Delhi - DPCC",2015-04,PM2.5,,94
Delhi,"Alipur, Delhi - DPCC",2015-05,PM2.5,,97
Delhi,"Alipur, Delhi - DPCC",2015-06,PM2.5,,93
Delhi,"Alipur, Delhi - DPCC",2015-07,PM2.5,,66
Delhi,"Alipur, Delhi - DPCC",2015-08,PM2.5,,59
Delhi,"Alipur, Delhi - DPCC",2015-09,PM2.5,,79
Delhi,"Alipur, Delhi - DPCC",2015-10,PM2.5,,125
Delhi,"Alipur, Delhi - DPCC",2015-11,PM2.5,,210
Delhi,"Alipur, Delhi - DPCC",2015-12,PM2.5,,202
Delhi,"Alipur, Delhi - DPCC",2016-01,PM2.5,,240
Delhi,"Alipur, Delhi - DPCC",2016-02,PM2.5,,155
Delhi,"Alipur, Delhi - DPCC",2016-03,PM2.5,,108
Delhi,"Alipur, Delhi - DPCC",2016-04,PM2.5,,116
Delhi,"Alipur, Delhi - DPCC",2016-05,PM2.5,,94
Delhi,"Alipur, Delhi - DPCC",2016-06,PM2.5,,93
Delhi,"Alipur, Delhi - DPCC",2016-07,PM2.5,,64
Delhi,"Alipur, Delhi - DPCC",2016-08,PM2.5,,48
Delhi,"Alipur, Delhi - DPCC",2016-09,PM2.5,,70
Delhi,"Alipur, Delhi - DPCC",2016-10,PM2.5,,147
Delhi,"Alipur, Delhi - DPCC",2016-11,PM2.5,,304
Delhi,"Alipur, Delhi - DPCC",2016-12,PM2.5,,187
Delhi,"Alipur, Delhi - DPCC",2017-01,PM2.5,,175
Delhi,"Alipur, Delhi - DPCC",2017-02,PM2.5,,130
Delhi,"Alipur, Delhi - DPCC",2017-03,PM2.5,,101
Delhi,"Alipur, Delhi - DPCC",2017-04,PM2.5,,98
Delhi,"Alipur, Delhi - DPCC",2017-05,PM2.5,,99
Delhi,"Alipur, Delhi - DPCC",2017-06,PM2.5,,63
Delhi,"Alipur, Delhi - DPCC",2017-07,PM2.5,,40
Delhi,"Alipur, Delhi - DPCC",2017-08,PM2.5,,37
Delhi,"Alipur, Delhi - DPCC",2017-09,PM2.5,,57
Delhi,"Alipur, Delhi - DPCC",2017-10,PM2.5,,121
Delhi,"Alipur, Delhi - DPCC",2017-11,PM2.5,,250
Delhi,"Alipur, Delhi - DPCC",2017-12,PM2.5,,194
Delhi,"Alipur, Delhi - DPCC",2018-01,PM2.5,,191
Delhi,"Alipur, Delhi - DPCC",2018-02,PM2.5,,135
Delhi,"Alipur, Delhi - DPCC",2018-03,PM2.5,,98
Delhi,"Alipur, Delhi - DPCC",2018-04,PM2.5,,91
Delhi,"Alipur, Delhi - DPCC",2018-05,PM2.5,,87
Delhi,"Alipur, Delhi - DPCC",2018-06,PM2.5,,81
Delhi,"Alipur, Delhi - DPCC",2018-07,PM2.5,,42
Delhi,"Alipur, Delhi - DPCC",2018-08,PM2.5,,41
Delhi,"Alipur, Delhi - DPCC",2018-09,PM2.5,,46
Delhi,"Alipur, Delhi - DPCC",2018-10,PM2.5,,135
Delhi,"Alipur, Delhi - DPCC",2018-11,PM2.5,196.0,200
Delhi,"Alipur, Delhi - DPCC",2018-12,PM2.5,233.0,230
Delhi,"Alipur, Delhi - DPCC",2019-01,PM2.5,193.0,204
Delhi,"Alipur, Delhi - DPCC",2019-02,PM2.5,118.0,122
Delhi,"Alipur, Delhi - DPCC",2019-03,PM2.5,84.0,84
Delhi,"Alipur, Delhi - DPCC",2019-04,PM2.5,83.0,82
Delhi,"Alipur, Delhi - DPCC",2019-05,PM2.5,90.0,89
Delhi,"Alipur, Delhi - DPCC",2019-06,PM2.5,64.0,63
Delhi,"Alipur, Delhi - DPCC",2019-07,PM2.5,45.0,47
Delhi,"Alipur, Delhi - DPCC",2019-08,PM2.5,32.0,35
Delhi,"Alipur, Delhi - DPCC",2019-09,PM2.5,37.0,40
Delhi,"Alipur, Delhi - DPCC",2019-10,PM2.5,126.0,123
Delhi,"Alipur, Delhi - DPCC",2019-11,PM2.5,204.0,204
Delhi,"Alipur, Delhi - DPCC",2019-12,PM2.5,195.0,205
Delhi,"Alipur, Delhi - DPCC",2020-01,PM2.5,140.0,157
Delhi,"Alipur, Delhi - DPCC",2020-02,PM2.5,122.0,121
Delhi,"Alipur, Delhi - DPCC",2020-03,PM2.5,55.0,58
Delhi,"Alipur, Delhi - DPCC",2020-04,PM2.5,48.0,47
Delhi,"Alipur, Delhi - DPCC",2020-05,PM2.5,65.0,55
Delhi,"Alipur, Delhi - DPCC",2020-06,PM2.5,49.0,47
Delhi,"Alipur, Delhi - DPCC",2020-07,PM2.5,34.0,34
Delhi,"Alipur, Delhi - DPCC",2020-08,PM2.5,23.0,25
Delhi,"Alipur, Delhi - DPCC",2020-09,PM2.5,51.0,48
Delhi,"Alipur, Delhi - DPCC",2020-10,PM2.5,154.0,132
Delhi,"Alipur, Delhi - DPCC",2020-11,PM2.5,244.0,213
Delhi,"Alipur, Delhi - DPCC",2020-12,PM2.5,209.0,194
Delhi,"Alipur, Delhi - DPCC",2021-01,PM2.5,183.0,197
Delhi,"Alipur, Delhi - DPCC",2021-02,PM2.5,158.0,151
Delhi,"Alipur, Delhi - DPCC",2021-03,PM2.5,101.0,94
Delhi,"Alipur, Delhi - DPCC",2021-04,PM2.5,95.0,84
Delhi,"Alipur, Delhi - DPCC",2021-05,PM2.5,61.0,54
Delhi,"Alipur, Delhi - DPCC",2021-06,PM2.5,53.0,52
Delhi,"Alipur, Delhi - DPCC",2021-07,PM2.5,37.0,39
Delhi,"Alipur, Delhi - DPCC",2021-08,PM2.5,36.0,40
Delhi,"Alipur, Delhi - DPCC",2021-09,PM2.5,30.0,32
Delhi,"Alipur, Delhi - DPCC",2021-10,PM2.5,86.0,75
Delhi,"Alipur, Delhi - DPCC",2021-11,PM2.5,260.0,239
Delhi,"Alipur, Delhi - DPCC",2021-12,PM2.5,189.0,201
Delhi,"Alipur, Delhi - DPCC",2022-01,PM2.5,128.0,153
Delhi,"Alipur, Delhi - DPCC",2022-02,PM2.5,104.0,108
Delhi,"Alipur, Delhi - DPCC",2022-03,PM2.5,108.0,99
Delhi,"Alipur, Delhi - DPCC",2022-04,PM2.5,127.0,109
Delhi,"Alipur, Delhi - DPCC",2022-05,PM2.5,81.0,79
Delhi,"Alipur, Delhi - DPCC",2022-06,PM2.5,63.0,62
Delhi,"Alipur, Delhi - DPCC",2022-07,PM2.5,33.0,36
Delhi,"Alipur, Delhi - DPCC",2022-08,PM2.5,32.0,33
Delhi,"Alipur, Delhi - DPCC",2022-09,PM2.5,36.0,40
Delhi,"Alipur, Delhi - DPCC",2022-10,PM2.5,111.0,107
Delhi,"Alipur, Delhi - DPCC",2022-11,PM2.5,211.0,181
Delhi,"Alipur, Delhi - DPCC",2022-12,PM2.5,182.0,175
Delhi,"Alipur, Delhi - DPCC",2023-01,PM2.5,156.0,176
Delhi,"Alipur, Delhi - DPCC",2023-02,PM2.5,122.0,114
Delhi,"Alipur, Delhi - DPCC",2023-03,PM2.5,79.0,76
Delhi,"Alipur, Delhi - DPCC",2023-04,PM2.5,77.0,68
Delhi,"Alipur, Delhi - DPCC",2023-05,PM2.5,68.0,66
Delhi,"Alipur, Delhi - DPCC",2023-06,PM2.5,45.0,46
Delhi,"Alipur, Delhi - DPCC",2023-07,PM2.5,31.0,35
Delhi,"Alipur, Delhi - DPCC",2023-08,PM2.5,37.0,39
Delhi,"Alipur, Delhi - DPCC",2023-09,PM2.5,35.0,42
Delhi,"Alipur, Delhi - DPCC",2023-10,PM2.5,95.0,103
Delhi,"Alipur, Delhi - DPCC",2023-11,PM2.5,229.0,240
Delhi,"Alipur, Delhi - DPCC",2023-12,PM2.5,199.0,202
Delhi,"Alipur, Delhi - DPCC",2024-01,PM2.5,167.0,208
Delhi,"Alipur, Delhi - DPCC",2024-02,PM2.5,83.0,103
Delhi,"Alipur, Delhi - DPCC",2024-03,PM2.5,70.0,78
Delhi,"Alipur, Delhi - DPCC",2024-04,PM2.5,66.0,71
Delhi,"Alipur, Delhi - DPCC",2024-05,PM2.5,87.0,92
Delhi,"Alipur, Delhi - DPCC",2024-06,PM2.5,53.0,62
Delhi,"Alipur, Delhi - DPCC",2024-07,PM2.5,39.0,40
Delhi,"Alipur, Delhi - DPCC",2024-08,PM2.5,22.0,28
Delhi,"Alipur, Delhi - DPCC",2024-09,PM2.5,40.0,42
Delhi,"Alipur, Delhi - DPCC",2024-10,PM2.5,124.0,113
Delhi,"Alipur, Delhi - DPCC",2024-11,PM2.5,275.0,245
Delhi,"Alipur, Delhi - DPCC",2024-12,PM2.5,176.0,171
Delhi,"Alipur, Delhi - DPCC",2025-01,PM2.5,168.0,163
Delhi,"Alipur, Delhi - DPCC",2025-02,PM2.5,103.0,98
Delhi,"Alipur, Delhi - DPCC",2025-03,PM2.5,81.0,70
Delhi,"Alipur, Delhi - DPCC",2025-04,PM2.5,93.0,77
Delhi,"Alipur, Delhi - DPCC",2025-05,PM2.5,80.0,67
Delhi,"Alipur, Delhi - DPCC",2025-06,PM2.5,54.0,48
Delhi,"Alipur, Delhi - DPCC",2025-07,PM2.5,24.0,30
Delhi,"Alipur, Delhi - DPCC",2025-08,PM2.5,28.0,33
Delhi,"Alipur, Delhi - DPCC",2025-09,PM2.5,36.0,36
Delhi,"Alipur, Delhi - DPCC",2025-10,PM2.5,103.0,108
Delhi,"Alipur, Delhi - DPCC",2025-11,PM2.5,230.0,217
Delhi,"Alipur, Delhi - DPCC",2025-12,PM2.5,199.0,214
Delhi,"Alipur, Delhi - DPCC",2026-01,PM2.5,149.0,169
Delhi,"Alipur, Delhi - DPCC",2026-02,PM2.5,110.0,105
Delhi,"Alipur, Delhi - DPCC",2026-03,PM2.5,78.0,76
Delhi,"Alipur, Delhi - DPCC",2026-04,PM2.5,72.0,68
Delhi,"Anand Vihar, Delhi - DPCC",2015-01,PM2.5,,196
Delhi,"Anand Vihar, Delhi - DPCC",2015-02,PM2.5,,173
Delhi,"Anand Vihar, Delhi - DPCC",2015-03,PM2.5,,78
Delhi,"Anand Vihar, Delhi - DPCC",2015-04,PM2.5,119.0,94
Delhi,"Anand Vihar, Delhi - DPCC",2015-05,PM2.5,167.0,97
Delhi,"Anand Vihar, Delhi - DPCC",2015-06,PM2.5,124.0,93
Delhi,"Anand Vihar, Delhi - DPCC",2015-07,PM2.5,61.0,66
Delhi,"Anand Vihar, Delhi - DPCC",2015-08,PM2.5,80.0,59
Delhi,"Anand Vihar, Delhi - DPCC",2015-09,PM2.5,88.0,79
Delhi,"Anand Vihar, Delhi - DPCC",2015-10,PM2.5,170.0,125
Delhi,"Anand Vihar, Delhi - DPCC",2015-11,PM2.5,326.0,210
Delhi,"Anand Vihar, Delhi - DPCC",2015-12,PM2.5,291.0,202
Delhi,"Anand Vihar, Delhi - DPCC",2016-01,PM2.5,329.0,240
Delhi,"Anand Vihar, Delhi - DPCC",2016-02,PM2.5,167.0,155
