city,station,year,pollutant,station_val,city_avg
Delhi,"Alipur, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Alipur, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Alipur, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Alipur, Delhi - DPCC",2018,PM2.5,220.0,116
Delhi,"Alipur, Delhi - DPCC",2019,PM2.5,106.0,109
Delhi,"Alipur, Delhi - DPCC",2020,PM2.5,99.0,97
Delhi,"Alipur, Delhi - DPCC",2021,PM2.5,107.0,107
Delhi,"Alipur, Delhi - DPCC",2022,PM2.5,101.0,99
Delhi,"Alipur, Delhi - DPCC",2023,PM2.5,99.0,101
Delhi,"Alipur, Delhi - DPCC",2024,PM2.5,100.0,105
Delhi,"Alipur, Delhi - DPCC",2025,PM2.5,100.0,102
Delhi,"Alipur, Delhi - DPCC",2026,PM2.5,102.0,100
Delhi,"Anand Vihar, Delhi - DPCC",2015,PM2.5,157.0,135
Delhi,"Anand Vihar, Delhi - DPCC",2016,PM2.5,171.0,166
Delhi,"Anand Vihar, Delhi - DPCC",2017,PM2.5,192.0,134
Delhi,"Anand Vihar, Delhi - DPCC",2018,PM2.5,161.0,116
Delhi,"Anand Vihar, Delhi - DPCC",2019,PM2.5,128.0,109
Delhi,"Anand Vihar, Delhi - DPCC",2020,PM2.5,115.0,97
Delhi,"Anand Vihar, Delhi - DPCC",2021,PM2.5,129.0,107
Delhi,"Anand Vihar, Delhi - DPCC",2022,PM2.5,124.0,99
Delhi,"Anand Vihar, Delhi - DPCC",2023,PM2.5,128.0,101
Delhi,"Anand Vihar, Delhi - DPCC",2024,PM2.5,136.0,105
Delhi,"Anand Vihar, Delhi - DPCC",2025,PM2.5,122.0,102
Delhi,"Anand Vihar, Delhi - DPCC",2026,PM2.5,137.0,100
Delhi,"Ashok Vihar, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Ashok Vihar, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Ashok Vihar, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Ashok Vihar, Delhi - DPCC",2018,PM2.5,119.0,116
Delhi,"Ashok Vihar, Delhi - DPCC",2019,PM2.5,121.0,109
Delhi,"Ashok Vihar, Delhi - DPCC",2020,PM2.5,103.0,97
Delhi,"Ashok Vihar, Delhi - DPCC",2021,PM2.5,114.0,107
Delhi,"Ashok Vihar, Delhi - DPCC",2022,PM2.5,103.0,99
Delhi,"Ashok Vihar, Delhi - DPCC",2023,PM2.5,95.0,101
Delhi,"Ashok Vihar, Delhi - DPCC",2024,PM2.5,107.0,105
Delhi,"Ashok Vihar, Delhi - DPCC",2025,PM2.5,112.0,102
